collegeName,aliasName,state,city,photo,rank,ACT,aidPercent,acceptance,tuition,gpa,enrollment,SAT,costAfterAid,type,academicCalendar,setting,website
Kent State University at East Liverpool,,OH,East Liverpool,,Unranked,,,,,,,,,Public,N/A,N/A,hi
Olivet College,,MI,Olivet,,#42,,,71,28692,,1055,,,Private,Semester,Rural,http://www.olivetcollege.edu
Rochester University,,MI,Rochester Hills,https://www.usnews.com/dims4/USNEWS/3d72c69/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fbb%2F1757864b0234b9bea22a67d2e3592b%2Frichardson.jpg,#55-#70,17,,100,23996,,1065,870,,Private,Semester,Suburban,//www.rc.edu
Mount Vernon Nazarene University,,OH,Mount Vernon,https://www.usnews.com/dims4/USNEWS/366a572/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F9f%2F92b823320a3d5f2cd969316cb082ec%2Fcollege-photo_2474.jpg,#66,19,,76,29244,3.6,1838,960,,Private,Semester,Rural,https://www.mvnu.edu/
Cleary University,,MI,Howell,https://www.usnews.com/dims4/USNEWS/3544a0a/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F38%2F6109dcbcbdbaa5c8cd48be6b7abc77%2Fcollege-photo_364.jpg,Unranked,,,,,,,,,Private,Semester,Suburban,http://www.cleary.edu
CUNY--New York City College of Technology,CUNY New York City College of Technology CUNY New York City College of Technology,NY,Brooklyn,https://www.usnews.com/dims4/USNEWS/c35066f/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F85%2F5886d00aab0d161eede1e869b95fdd%2Fcollege-photo_8094.jpg,#35,,,75,14790,,17269,,,Public,Semester,Urban,http://www.citytech.cuny.edu
Princeton University,,NJ,Princeton,https://www.usnews.com/dims4/USNEWS/f7b3088/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F4a%2Fde%2Fe754e2714cae81f92edb1c7b273d%2F190827princeton-university23.jpg,#1,32,61,5,51870,3.9,5428,1440,16438,Private,Semester,Suburban,http://www.princeton.edu
University of the Sciences,,PA,Philadelphia,https://www.usnews.com/dims4/USNEWS/18e3ad7/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F16%2F00b2195cfea67966df514f260f3efb%2Fcollege-photo_19533.jpg,Unranked,23,,60,25000,3.7,1231,1120,,Private,Semester,Urban,http://www.usciences.edu
Boise State University,,ID,Boise,https://www.usnews.com/dims4/USNEWS/8ea4998/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F48%2Ff2418041fe6fc3e498cf26fb0d9519%2FBoiseState_17_18_0065.jpg,#293-#381,21,,81,24988,3.5,22064,1030,,Public,Semester,City,http://www.boisestate.edu
University of New England,UNE,ME,Biddeford,https://www.usnews.com/dims4/USNEWS/13df628/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc2%2Fb90298b800c88f112fd9a6c0170a95%2Fcollege-photo_21010.jpg,#246,20,,80,38750,3.4,4449,1050,,Private,Semester,Suburban,http://www.une.edu
Pennsylvania State University--University Park,Penn State Pennsylvania State University University Park,PA,University Park,https://www.usnews.com/dims4/USNEWS/adc93ab/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0e%2F5de474cdda2fe39ff0c60d2db0259e%2Fcollege-photo_5953.jpg,#57,25,17,56,35514,,40363,1160,46458,Public,Semester,City,http://www.psu.edu
Angelo State University,,TX,San Angelo,https://www.usnews.com/dims4/USNEWS/968ac8a/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb9%2F8e561a50a5a730975d86d84092ec60%2Fcollege-photo_34138.jpg,#87-#113,18,,73,21381,,8752,950,,Public,Semester,City,http://www.angelo.edu
University of Wisconsin--Eau Claire,University of Wisconsin Eau Claire,WI,Eau Claire,https://www.usnews.com/dims4/USNEWS/5e4e913/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa0%2F9a82a569ebd76fd281eba69898e8ef%2Fcollege-photo_33578.jpg,#33,21,26,86,17116,,10113,1040,23916,Public,Semester,City,https://www.uwec.edu
The Master's University and Seminary,Masters College and Seminary,CA,Santa Clarita,,#51,21,68,77,25390,3.7,1399,1010,20621,Private,Semester,Suburban,http://www.masters.edu
Florida College,,FL,Temple Terrace,https://www.usnews.com/dims4/USNEWS/03c9c53/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F29%2F2540dac35e1e41d9ea50dccace0a18%2Fcollege-photo_29318.jpg,#65-#84,20,,74,17142,,508,960,,Private,Semester,City,http://www.floridacollege.edu/
Tennessee Technological University,,TN,Cookeville,https://www.usnews.com/dims4/USNEWS/591bf24/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F73%2F572381fc3b005a0cc3313798904bbf%2FStock_Campus_Drone_23AUG19_00008.jpg,#272,21,,76,17373,3.6,9006,1050,,Public,Semester,Rural,http://www.tntech.edu
Pace University,,NY,New York,https://www.usnews.com/dims4/USNEWS/070980e/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F74%2F8a5382560ae46b6eeb0b2c0ebf1d68%2Fcollege-photo_37306.jpg,#202,22,,76,46446,3.4,8960,1060,,Private,Semester,Urban,http://www.pace.edu
Roger Williams University,,RI,Bristol,https://www.usnews.com/dims4/USNEWS/884716a/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F15%2Fe469b604ee240b467cdffabf20ffae%2Fcollege-photo_22643.jpg,#28,23,38,86,36978,3.3,4537,1080,38791,Private,Semester,Suburban,http://www.rwu.edu
Kuyper College,,MI,Grand Rapids,,#51,19,,66,22886,,,1000,,Private,N/A,N/A,http://www.kuyper.edu
University of Southern Mississippi,,MS,Hattiesburg,,#293-#381,19,,98,10879,3.4,11920,,,Public,Semester,Suburban,http://www.usm.edu/admissions
University of St. Thomas,University of St Thomas University of Saint Thomas,MN,St. Paul,https://www.usnews.com/dims4/USNEWS/1f08388/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0d%2F1c1dbe7e90fa4488730b764bf061b5%2Fcollege-photo_30283.jpg,#139,24,55,82,42736,3.6,6395,1130,33579,Private,4/1/2004,Urban,http://www.stthomas.edu
Shasta College,,CA,Redding,,Unranked,,,,,,,,,Public,N/A,N/A,//www.shastacollege.edu
Spring Arbor University,,MI,Spring Arbor,https://www.usnews.com/dims4/USNEWS/5d25682/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F18%2Fe0467f30bedc8a18e6486eb32323dd%2Fcollege-photo_27511.jpg,#43,20,82,71,29630,3.6,1807,1025,24133,Private,4/1/2004,Rural,http://www.arbor.edu/
Framingham State University,,MA,Framingham,https://www.usnews.com/dims4/USNEWS/3d3243d/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F34%2Ff55a8c42779719e544cfa102fb186c%2Fcollege-photo_15987.jpg,#104,18,,73,16600,3,3937,960,,Public,Semester,Suburban,http://www.framingham.edu
Coppin State University,,MD,Baltimore,,#129-#170,16,,38,13113,,2362,880,,Public,Semester,Urban,http://www.coppin.edu
Texas A&M University--Galveston,,TX,Galveston,,Unranked,,,,,,,,,Public,N/A,N/A,hi
Husson University,,ME,Bangor,https://www.usnews.com/dims4/USNEWS/edac713/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F60%2F9e3f94e7ebd86b9a82ca73690464f7%2Fcollege-photo_12132.jpg,#293-#381,18,,83,18940,3.3,2912,930,,Private,Semester,Suburban,http://www.husson.edu
Mercy College of Ohio,,OH,Toledo,,Unranked,,,,,,,,,Private,N/A,N/A,//www.mercycollege.edu/
University of Texas--Arlington,UT Arlington University of Texas Arlington,TX,Arlington,https://www.usnews.com/dims4/USNEWS/771e69b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F14%2Fcc9bd7496455b443ec3ed9d7ea4d26%2Fcollege-photo_21959.jpg,#293-#381,20,,80,28129,,34472,1060,,Public,Semester,Urban,http://www.uta.edu
Gwynedd Mercy University,Gwynedd Mercy College,PA,Gwynedd Valley,https://www.usnews.com/dims4/USNEWS/1140a11/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fbb%2F1d7d9d33b35e5830e89ed39126e8db%2Fcollege-photo_28203.jpg,#104,18,,92,34580,3.2,2033,940,,Private,Semester,Suburban,https://www.gmercyu.edu/
University of Bridgeport,,CT,Bridgeport,,#293-#381,16,,57,34100,3,3415,900,,Private,Semester,Urban,http://www.bridgeport.edu
Mount Holyoke College,,MA,South Hadley,https://www.usnews.com/dims4/USNEWS/9e03729/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7b%2F41%2F6bb3fa3247bc880134c8503b8680%2F190823mount-holyoke-college0.jpg,#32,29,62,51,52258,3.8,2208,1290,31283,Private ,Semester,Suburban,http://www.mtholyoke.edu
Northwest Indian College,,WA,Bellingham,,Unranked,,,,,,,,,Public,N/A,N/A,hi
Tarleton State University,,TX,Stephenville,,#70,18,,78,21087,,11316,970,,Public,Semester,Rural,http://www.tarleton.edu
University of Ottawa,,,"Ottawa, Ontario",,Unranked,,,,,,,,,Public,N/A,N/A,//www.uottawa.ca/welcome.html
Coker College,,SC,Hartsville,https://www.usnews.com/dims4/USNEWS/71a6173/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0c%2Ff5007d91a1fbc4454f0ade6ea382ab%2Fcollege-photo_254.jpg,#43,17,80,63,30196,,1129,950,33516,Private,Differs by program,Rural,http://www.coker.edu
Barton College,,NC,Wilson,https://www.usnews.com/dims4/USNEWS/9b4d945/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F25%2F51825de20e9b9ddcab85bf09bce45d%2Fcollege-photo_34925.jpg,#10,17,84,40,31730,3.2,976,920,26580,Private,Semester,City,http://www.barton.edu
Martin Methodist College,,TN,Pulaski,,#34,18,,100,23496,3.3,901,983,,Private,Semester,Rural,//www.martinmethodist.edu
University of Idaho,,ID,Moscow,https://www.usnews.com/dims4/USNEWS/60091f2/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc0%2F4e222d10b9efed7026f87ded8c9143%2Fcollege-photo_17379.jpg,#179,20,44,77,27540,3.4,9568,1010,24584,Public,Semester,Rural,http://www.uidaho.edu/admissions
Radford University,,VA,Radford,https://www.usnews.com/dims4/USNEWS/5419700/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F76%2F00c813ab938d9ddc915979054c1ce1%2Fradford-smiling-selfies.jpg,#28,17,32,75,22985,3.2,7926,940,26732,Public,Semester,City,http://www.radford.edu
Faulkner University,,AL,Montgomery,https://www.usnews.com/dims4/USNEWS/3c0634a/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F94%2F049627e464d9cd75ba7cc97434a969%2Fcollege-photo_5277.jpg,#96-#122,18,,52,22310,3.3,2428,940,,Private,Semester,Suburban,//www.faulkner.edu
Academy of Art University,,CA,San Francisco,,Unranked,,,100,29190,,7051,,,Proprietary,Semester,Urban,http://www.academyart.edu/
Monmouth College,,IL,Monmouth,https://www.usnews.com/dims4/USNEWS/611ebd2/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd1%2Fed9724918a86d1e2d7ad4242f0358c%2Fcollege-photo_33389.jpg,#124,20,,69,38990,3.5,914,980,,Private,Semester,Rural,http://www.monmouthcollege.edu/admissions
College of Menominee Nation,,WI,Keshena,,Unranked,,,,,,,,,Private,N/A,N/A,hi
National Graduate School of Quality Management,,MA,Falmouth,,Unranked,,,,,,,,,Private,Continuous,Suburban,http://www.ngs.edu
Cascadia College,,WA,Bothell,,Unranked,,,,9297,,3757,,,Public,Quarter,Suburban,//www.national.edu/locations/campuses/austin/
Syracuse University,,NY,Syracuse,https://www.usnews.com/dims4/USNEWS/e7098c0/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcb%2F53a7cc282100311bf0c29d16c2a67c%2Fcollege-photo_22933.jpg,#54,25,41,50,53849,3.7,15226,1180,37960,Private,Semester,City,https://www.syracuse.edu
Alabama Agricultural and Mechanical University,Alabama A&M Alabama A & M,AL,Normal,https://www.usnews.com/dims4/USNEWS/a335f0f/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa1%2F63386d8b09aaf181f83b4c2f6f77b7%2Fcollege-photo_7105.jpg,#96-#122,16,,90,18354,3,5143,725,,Public,Semester,Urban,http://www.aamu.edu/admissions/undergraduateadmissions/pages/default.aspx
Georgetown College,,KY,Georgetown,https://www.usnews.com/dims4/USNEWS/fbea43d/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F19%2Fb724d5de8fb21ced8ae46f74b78163%2Fcollege-photo_20479.jpg,#157,20,,48,39810,3.4,961,1015,,Private,Semester,Suburban,http://www.georgetowncollege.edu
Marlboro College Graduate & Professional Studies,,VT,Marlboro,,Unranked,,,,,,,,,Private,Semester,City,http://www.drury.edu
Albany College of Pharmacy and Health Sciences,,NY,Albany,https://www.usnews.com/dims4/USNEWS/af3ad40/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fea%2F8c1e2a1f65a930a553c81d699c22ab%2Fcollege-photo_31346.jpg,Unranked,23,,79,35261,,,1110,,Private,Semester,City,http://www.acphs.edu/
University of Houston--Victoria,University of Houston Victoria,TX,Victoria,,#87-#113,,,49,,,,,,Public,Semester,City,http://www.uhv.edu/
Memorial University of Newfoundland,,,"St. John's, Newfoundland",,Unranked,,,,,,,,,Public,N/A,N/A,//www.mun.ca/
West Texas A&M University,West Texas A & M University West Texas A and M University,TX,Canyon,,#75,19,,65,10274,3.5,7376,970,,Public,Semester,Suburban,http://www.wtamu.edu
University of South Carolina--Aiken,University of South Carolina Aiken,SC,Aiken,https://www.usnews.com/dims4/USNEWS/9b7a052/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5c%2F8b3940898b1faac4a93aa0217ae179%2Fcollege-photo_16686.jpg,#13,17,39,51,21218,3.9,3344,950,29845,Public,Semester,Suburban,https://www.usca.edu/
Case Western Reserve University,,OH,Cleveland,https://www.usnews.com/dims4/USNEWS/c1fb754/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F73%2F89297a497b68db55c95d4b31ef24ba%2Fcollege-photo_8808.jpg,#40,30,46,29,50904,,5262,1350,35655,Private,Semester,Urban,http://www.case.edu
Louisiana State University Health Sciences Center--Shreveport,,LA,Shreveport,,Unranked,,,,,,,,,Public,N/A,N/A,hi
Kenyon College,,OH,Gambier,https://www.usnews.com/dims4/USNEWS/bc6f199/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F37%2Fc2199055c871e43a90e432922fb699%2FWEBDJI_0008b-%281%29.jpg,#27,29,42,36,58570,3.9,1734,1280,29662,Private,Semester,Rural,http://www.kenyon.edu
Stillman College,,AL,Tuscaloosa,https://www.usnews.com/dims4/USNEWS/fc8f514/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F36%2F8387eed7909ccc891add6e1d1baf3e%2Fcollege-photo_2188.jpg,#164-#215,,,40,11292,,797,,,Private,Semester,City,http://www.stillman.edu
Harris-Stowe State University,Harris Stowe State University,MO,St. Louis,,#55-#70,15,,56,10020,2.8,1716,790,,Public,Semester,Urban,http://www.hssu.edu
Babson College,,MA,Babson Park,https://www.usnews.com/dims4/USNEWS/0edf54b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F53%2F21f6af3fb126c7326ec06eddbf6ec9%2Fcollege-photo_6503.jpg,Unranked,28,,24,52608,,2361,1270,,Private,Semester,Suburban,http://www.babson.edu
Bethel College,,KS,North Newton,https://www.usnews.com/dims4/USNEWS/fecfa64/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe6%2Ff17cbd009730fdeca04a5b4b1153b3%2Fcollege-photo_17181.jpg,#23,18,64,44,29390,3.5,444,920,36897,Private,4/1/2004,Suburban,http://www.bethelks.edu
University of South Dakota,,SD,Vermillion,https://www.usnews.com/dims4/USNEWS/855cd99/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F40%2F283ba0f6130b61626510cf969ad3d7%2Fcollege-photo_5537.jpg,#263,20,,86,12807,,7590,1030,,Public,Semester,Rural,http://www.usd.edu
University of Missouri--Kansas City,UMKC University of Missouri Kansas City,MO,Kansas City,https://www.usnews.com/dims4/USNEWS/ad8c18f/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F97%2F785117f3a2b4aa263f529218af68bc%2Fcollege-photo_22581.jpg,#263,21,,56,26134,3.4,11337,1030,,Public,Semester,Urban,http://www.umkc.edu
Westminster College,,UT,Salt Lake City,,#12,21,63,93,34984,3.5,1968,1080,24639,Private,4/4/2001,Urban,http://www.westminstercollege.edu
Manhattan School of Music,,NY,New York,,Unranked,,,,,,,,,Private,Semester,Urban,http://msmnyc.edu/
Alice Lloyd College,,KY,Pippa Passes,https://www.usnews.com/dims4/USNEWS/176bce3/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fec%2F08%2F082546f44ba0aeaadad7c991123d%2F190828alice-lloyd-college0.jpg,#21,18,87,8,12230,3.5,592,910,15830,Private,Semester,Rural,http://www.alc.edu
California State University--Fresno,Cal State University Fresno California State University Fresno,CA,Fresno,https://www.usnews.com/dims4/USNEWS/0b685a2/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff4%2Fc42949cb51d9579311d2d425c0b569%2F130725Academics015.JPG,#211,16,,58,12725,3.5,22071,910,,Public,Semester,Urban,http://www.csufresno.edu
Eastern Florida State College,,FL,Cocoa,,Unranked,,,,,,,,,Public,Semester,Suburban,//www.easternflorida.edu
Farmingdale State College--SUNY,Farmingdale State College SUNY Farmingdale Farmingdale State College SUNY,NY,Farmingdale,https://www.usnews.com/dims4/USNEWS/102027b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa7%2F97d8b1ac1db3171101f53da3ad59bb%2Fcollege-photo_34011.jpg,#21,20,57,46,18448,3.2,9916,1010,29648,Public,Semester,Suburban,http://www.farmingdale.edu
MCPHS University,MCPHS,MA,Boston,,Unranked,22,,84,33620,,,1040,,Private,Semester,City,http://www.mcphs.edu
Daemen College,,NY,Amherst,https://www.usnews.com/dims4/USNEWS/a483bbc/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F52%2Fff7697afab3028ac1cf723ba57ad4b%2Fcollege-photo_9584.jpg,#263,21,,54,29430,3.3,1739,1040,,Private,Semester,Suburban,https://www.daemen.edu/
University of Mount Union,,OH,Alliance,https://www.usnews.com/dims4/USNEWS/73d3acf/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F41%2Fa6861680434d0fb0417114fe380f7a%2Fcollege-photo_13672.jpg,#13,20,80,96,31700,3.4,2116,968,23764,Private,Semester,City,http://www.mountunion.edu/
Inter American University of Puerto Rico--Metropolitan Campus,Inter American University of Puerto Rico Metropolitan Campus Inter American University of Puerto Rico Metropolitan Campus,PR,San Juan,,Unranked,,,18,7476,3,5546,,,Private,Trimester,Urban,http://www.metro.inter.edu/
York College,,NE,York,https://www.usnews.com/dims4/USNEWS/659a85d/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb6%2Fef135c8449d06b90aaca29283055b2%2Fcollege-photo_8840.jpg,#36,17,,50,19310,3.2,405,950,,Private,Semester,Rural,http://www.york.edu
University of South Carolina,USC,SC,Columbia,https://www.usnews.com/dims4/USNEWS/e989221/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F6a%2F3c1a5c49f439c1cc21106a7981155b%2Fcollege-photo_19707.jpg,#104,25,4,63,33928,4,26733,1190,44080,Public,Semester,City,http://www.sc.edu
Virginia Tech,,VA,Blacksburg,https://www.usnews.com/dims4/USNEWS/cd48ec2/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F17%2Fdf%2Fcbd3365f48618e8ce9f9396a5e97%2F190913virginia-tech1.jpg,#74,25,20,65,32835,4,27811,1180,35033,Public,Semester,Rural,//www.vt.edu
Miami Dade College,Miami Dade College,FL,Miami,,Unranked,,,,,,,,,Public,N/A,N/A,//www.mdc.edu/
Edmonds Community College,,WA,Lynnwood,,Unranked,,,,,,,,,Public,N/A,N/A,//www.wvc.edu
Ursuline College,,OH,Pepper Pike,,#43,19,70,90,33440,3.4,631,1020,24788,Private,Semester,Suburban,http://www.ursuline.edu
Pittsburg State University,,KS,Pittsburg,https://www.usnews.com/dims4/USNEWS/116881b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F86%2F28b850d8df39b4b2584ac50d85d0b4%2Fcollege-photo_7995.jpg,#95,18,,90,18682,3.4,5402,,,Public,Semester,Rural,http://www.pittstate.edu
The Art Institute of Philadelphia,,PA,Philadelphia,,Unranked,,,,,,,,,Private,N/A,N/A,hi
Fort Lewis College,,CO,Durango,https://www.usnews.com/dims4/USNEWS/2ee0f92/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F26%2F33ad60a60684e1433b9f9a4905e999%2Fcollege-photo_629.jpg,#164-#215,18,,91,21344,3.2,3270,1010,,Public,Semester,Rural,http://www.fortlewis.edu
St. John Vianney College Seminary,St John Vianney College Seminary Saint John Vianney College Seminary,FL,Miami,,Unranked,,,,,,,,,Private,N/A,N/A,//www.sjvcs.edu
CUNY--Lehman College,CUNY Lehman College CUNY Lehman College,NY,Bronx,https://www.usnews.com/dims4/USNEWS/7b81a0b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F34%2Fe7249894f2e4272d1b14a13effcb58%2Fcollege-photo_1892.jpg,#100,,,40,18480,,12639,920,,Public,Semester,Urban,http://www.lehman.cuny.edu
California Baptist University,CBU,CA,Riverside,https://www.usnews.com/dims4/USNEWS/b58f5e8/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fbd%2F20e1a7b3b04ce6ee3f332c23822235%2FMario-Aerial-PFW.jpg,#43,18,68,80,34922,3.6,7855,980,30225,Private,Semester,Suburban,http://www.calbaptist.edu
Ashland University,,OH,Ashland,https://www.usnews.com/dims4/USNEWS/b176fef/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F81%2F5ee999ab2b64f7346f1e2b96d058d5%2Fcollege-photo_23917.jpg,#53,20,74,68,21980,3.4,5019,975,22056,Private,Semester,Rural,http://www.ashland.edu/admissions
Northern Vermont University,,VT,Johnson,,#129-#170,20,,87,,,,870,,Public,Semester,Rural,http://www.jsc.edu
Seminole State College of Florida,,FL,Sanford,,Unranked,,,,,,,,,Public,Semester,Suburban,//www.seminolestate.edu
Roosevelt University,,IL,Chicago,https://www.usnews.com/dims4/USNEWS/85c2b34/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F23%2Fc7468c031be56d98e3feeb52efef03%2Fcollege-photo_5760.jpg,#293-#381,21,,65,30876,3.5,2419,1010,,Private,Semester,Urban,http://www.roosevelt.edu
University of San Diego,,CA,San Diego,https://www.usnews.com/dims4/USNEWS/685458a/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F14%2Fe4c69417c58d881093979ebf5cbc85%2Fcollege-photo_8421.jpg,#91,25,50,53,51186,3.9,5855,1190,35757,Private,4/1/2004,Urban,http://www.SanDiego.edu
Green River College,,WA,Auburn,,Unranked,,,,,,,,,Public,N/A,N/A,//uwc.edu
American University of Health Sciences,,CA,Signal Hill,,Unranked,,,,,,,,,Proprietary,N/A,N/A,hi
St. Charles Borromeo Seminary,St Charles Borromeo Seminary Saint Charles Borromeo Seminary,PA,Wynnewood,,Unranked,,,,,,,,,Private,N/A,N/A,//www.scs.edu/
Greenville University,,IL,Greenville,https://www.usnews.com/dims4/USNEWS/1a826f8/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fba%2Fbe2b2d1a7ae521f708f702f03959cb%2Fcollege-photo_30617.jpg,#102,17,,48,27954,,964,850,,Private,4/1/2004,Rural,http://www.greenville.edu
Langston University,,OK,Langston,,#87-#113,17,,55,13950,,1945,,,Public,Semester,Rural,http://www.langston.edu/
University of Notre Dame,Notre Dame,IN,Notre Dame,https://www.usnews.com/dims4/USNEWS/1dd41e6/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F53%2Ffff707d9cd1e8e4d55454e57f6c8b7%2Fcollege-photo_154.jpg,#15,33,47,18,55553,,8617,1400,31626,Private,Semester,City,http://www.nd.edu
Valdosta State University,,GA,Valdosta,,#293-#381,19,,63,17196,3.2,8700,1000,,Public,Semester,City,http://www.valdosta.edu
Salem College,,NC,Winston-Salem,https://www.usnews.com/dims4/USNEWS/6cb3d32/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F09%2F07b3cd7d4d9750ba8eef350f483542%2Fcollege-photo_16079.jpg,#132,21,,41,30266,4,703,1050,,Private ,4/1/2004,City,http://www.salem.edu
South Carolina State University,,SC,Orangeburg,https://www.usnews.com/dims4/USNEWS/8eeac9e/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F65%2F7cdc2bda77716d22cc1afaed5c39a7%2Fcollege-photo_23747.jpg,#82,15,,53,21750,3.1,2430,860,,Public,Semester,Suburban,http://www.scsu.edu
Maryville University of St. Louis,Maryville University of St Louis Maryville University of Saint Louis,MO,St Louis,https://www.usnews.com/dims4/USNEWS/52a15cc/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fac%2Fce8b57afbbdb932d07a65999af765e%2Fcollege-photo_4538.jpg,#202,20,,95,28470,3.6,3678,1020,,Private,Semester,Suburban,http://www.maryville.edu
Trinity Washington University,,DC,Washington,,#129-#170,,,92,,,,,,Private,N/A,N/A,http://www.trinitydc.edu
